register_no,student_name,degree Id,year,semester,mobile_no
13PCA001,Arun A,13,1,1,9955667788
13PCA002,Balaji A,13,1,1,9456789788
13PCA003,Charan S,13,1,1,9894326150
13PCA004,Dinesh L,13,1,1,9944537774
13PCA005,Ezlil K,13,1,1,
13PCA006,Franklin J,13,1,1,4564564564
13PCA007,Ganesh L,13,1,1,3216546541
13PCA008,Harish S,13,1,1,9879879879
13PCA009,Jai K,13,1,1,
13PCA010,Kalai S,13,1,1,
13PCA011,Lakshmanan R,13,1,1,
13PCA012,Madhan Mohan S,13,1,1,
13PCA013,Nithi S,13,1,1,
13PCA014,Om Prakash S,13,1,1,
13PCA015,Prakash D,13,1,1,9966554422
